policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std,load_name,load_factor,task_min_bits,task_max_bits,avg_task_mbits
random,-172.2414,1.6447664089468808,172.24140000000003,1.6447664089468748,0.40367499999999995,0.012943169047802783,0.5005,0.016169029037020125,3.968908082139492,0.29048020591614665,load_08,1.05,1575000.0,6300000.0,3.9375
mappo,-159.00464999999997,2.330546328653426,159.00464999999997,2.3305463286534325,0.2336,0.009784043131548422,0.7741250000000001,0.011074322778391463,1.6300935930460694,0.09959094628277569,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
offload,-169.941475,3.1394207934147627,169.941475,3.139420793414764,0.10565000000000001,0.008729404332484548,1.0,0.0,0.5935857180804014,0.008867307804991674,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
greedy,-184.132875,0.9436670907290459,184.13287499999998,0.9436670907290334,0.5948,0.0032148094811356932,0.26739999999999997,0.0012951833846988664,4.551091964054107,0.03078838638253938,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
local,-252.46137499999986,0.8825671451084905,252.461375,0.882567145108518,0.8238749999999999,0.0033564303955243863,0.0,0.0,4.950408114886283,0.004165316486532927,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
random,-173.62217500000003,1.71591575059064,173.62217500000003,1.7159157505906304,0.40785,0.016025448511664188,0.499725,0.01906942906853795,3.9900648074984546,0.26576921190592195,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
mappo,-162.1713,2.4149219055696114,162.1713,2.4149219055696185,0.2515,0.009807522622966518,0.7711500000000001,0.012315741958972674,1.6467040047377346,0.102300967473402,load_10,1.15,1724999.9999999998,6899999.999999999,4.312499999999999
offload,-172.8066,3.052753787975699,172.8066,3.052753787975701,0.1265,0.008856494791959177,1.0,0.0,0.5935857180804014,0.008867307804991674,load_10,1.15,1724999.9999999998,6899999.999999999,4.312499999999999
greedy,-185.30945,0.9296715871747389,185.30945,0.9296715871747397,0.598475,0.0031552535555799664,0.268625,0.0015258194519667159,4.546459498775005,0.03111017937765619,load_10,1.15,1724999.9999999998,6899999.999999999,4.312499999999999
local,-253.97269999999975,0.8014915143031707,253.97269999999997,0.8014915143031773,0.829975,0.003005099831952341,0.0,0.0,4.950408114886283,0.004165316486532927,load_10,1.15,1724999.9999999998,6899999.999999999,4.312499999999999
random,-174.557625,1.2349141480787145,174.557625,1.2349141480787253,0.4075,0.015992185591719475,0.5043,0.018222856526900498,4.003551858055591,0.25683747948924307,load_10,1.15,1724999.9999999998,6899999.999999999,4.312499999999999
mappo,-165.40027499999997,2.2731799352723683,165.400275,2.2731799352723905,0.26855,0.010159232254457029,0.769075,0.012854498239915864,1.6569952782630923,0.11092917091103362,load_11,1.2000000000000002,1800000.0000000002,7200000.000000001,4.500000000000001
offload,-175.73025,2.8822201512028887,175.73025,2.8822201512028887,0.14800000000000002,0.009905806378079477,1.0,0.0,0.5935857180804014,0.008867307804991674,load_11,1.2000000000000002,1800000.0000000002,7200000.000000001,4.500000000000001
greedy,-186.603425,0.8340700214160665,186.603425,0.8340700214160686,0.602475,0.0028338357397703897,0.269525,0.0016180621125284405,4.538059456110002,0.03418817542430637,load_11,1.2000000000000002,1800000.0000000002,7200000.000000001,4.500000000000001
local,-255.6196999999997,0.9104216591777585,255.61969999999994,0.910421659177766,0.836425,0.0033912571415332052,0.0,0.0,4.950408114886283,0.004165316486532927,load_11,1.2000000000000002,1800000.0000000002,7200000.000000001,4.500000000000001
random,-175.779025,1.1945010278877837,175.779025,1.1945010278877963,0.4155500000000001,0.015660779035539706,0.49894999999999995,0.0177893226402806,3.9795366583347316,0.25802940575012867,load_11,1.2000000000000002,1800000.0000000002,7200000.000000001,4.500000000000001
mappo,-168.564225,2.3796112982218225,168.56422500000005,2.379611298221832,0.2857,0.00966035713625537,0.7662,0.0125223799654858,1.670440051102638,0.10801452958171193,load_12,1.25,1875000.0,7500000.0,4.6875
offload,-178.720375,2.942121898498603,178.72037500000002,2.942121898498599,0.16997500000000001,0.01113690374385987,1.0,0.0,0.5935857180804014,0.008867307804991674,load_12,1.25,1875000.0,7500000.0,4.6875
greedy,-187.95805000000004,0.9063111413857896,187.95805000000001,0.9063111413857821,0.6066,0.003062270399556517,0.27040000000000003,0.0014017845768876187,4.529984708321094,0.03143405990060499,load_12,1.25,1875000.0,7500000.0,4.6875
local,-257.00922499999973,0.8336391564250063,257.00922499999996,0.8336391564250121,0.841725,0.003131393459787501,0.0,0.0,4.950408114886283,0.004165316486532927,load_12,1.25,1875000.0,7500000.0,4.6875
random,-176.2712,1.518838679715529,176.27120000000005,1.518838679715524,0.41805,0.016884090144274878,0.49917500000000004,0.019459268357263592,4.033184598827362,0.26637291260325324,load_12,1.25,1875000.0,7500000.0,4.6875
mappo,-171.534975,2.214475071687412,171.53497500000006,2.21447507168742,0.3023,0.010625323524486203,0.763,0.014071247279470287,1.6912584217667577,0.11933162426951409,load_13,1.3,1950000.0,7800000.0,4.875
offload,-181.72605,2.7753609040087057,181.72605,2.7753609040087026,0.19115000000000001,0.011537547399685948,1.0,0.0,0.5935857180804014,0.008867307804991674,load_13,1.3,1950000.0,7800000.0,4.875
greedy,-189.13367500000004,0.9518249054448181,189.13367500000004,0.9518249054448,0.610075,0.0032152954763131785,0.271,0.001436140661634507,4.521371930491924,0.03322629017086907,load_13,1.3,1950000.0,7800000.0,4.875
local,-258.3648749999997,0.7572953622101609,258.364875,0.7572953622101478,0.846875,0.0027528394431931523,0.0,0.0,4.950408114886283,0.004165316486532927,load_13,1.3,1950000.0,7800000.0,4.875
random,-177.36459999999997,1.3873723914292089,177.3646,1.3873723914292082,0.42297499999999993,0.01504138042202244,0.49755000000000005,0.017195493595706986,4.041958275747299,0.21566980497958044,load_13,1.3,1950000.0,7800000.0,4.875
