policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std,load_name,load_factor,task_min_bits,task_max_bits,avg_task_mbits
local,-248.55169999999987,0.9992292579783468,248.5517,0.9992292579783691,0.8094500000000001,0.0037927562537025724,0.0,0.0,4.950408114886283,0.004165316486532927,load_07,1.0,1500000.0,6000000.0,3.75
random,-170.9108,1.4724373025701156,170.91080000000002,1.4724373025701292,0.39764999999999995,0.012919558815996773,0.5020749999999999,0.01573930192225818,3.976306846189498,0.25973868628718755,load_07,1.0,1500000.0,6000000.0,3.75
mappo,-155.704975,2.440428823613786,155.704975,2.440428823613791,0.216875,0.0120681657678373,0.7739999999999999,0.016087650543196164,1.7536115169495343,0.1174510121161706,load_08,1.05,1575000.0,6300000.0,3.9375
pruned_p10,-156.037125,2.1365994923300424,156.037125,2.1365994923300433,0.251525,0.010566131032691198,0.7224499999999999,0.013585286158193358,2.12320842717886,0.09251917962090755,load_08,1.05,1575000.0,6300000.0,3.9375
distilled_p10,-155.731,2.455016204121671,155.731,2.4550162041216748,0.21652500000000002,0.011859305418109445,0.7745000000000001,0.016035117710824574,1.749755766507983,0.1198112959516907,load_08,1.05,1575000.0,6300000.0,3.9375
pruned_p25,-156.1859,2.346063938280458,156.1859,2.3460639382804556,0.22715,0.01021041135312383,0.7511999999999999,0.013214480693542214,1.9547054344594479,0.1032481736364985,load_08,1.05,1575000.0,6300000.0,3.9375
distilled_p25,-155.69659999999996,2.4194684984516726,155.6966,2.419468498451672,0.21687500000000004,0.011538657850894099,0.7738499999999999,0.015588136514670375,1.7573159570276735,0.12087822665118225,load_08,1.05,1575000.0,6300000.0,3.9375
pruned_p40,-156.36175,2.347720250583527,156.36175,2.3477202505835315,0.20995,0.01227538186778725,0.773425,0.01572182002822829,1.762358071953058,0.12614561288984052,load_08,1.05,1575000.0,6300000.0,3.9375
distilled_p40,-155.682075,2.4131867624833783,155.682075,2.413186762483376,0.21635,0.011365628007285829,0.7745499999999998,0.015606008458282982,1.7494861096769572,0.11677109732033865,load_08,1.05,1575000.0,6300000.0,3.9375
pruned_p50,-156.38094999999998,2.251989836233715,156.38095,2.251989836233724,0.230875,0.009217001952912885,0.7434000000000001,0.012103821710517715,2.026383802241087,0.1009887654900129,load_08,1.05,1575000.0,6300000.0,3.9375
distilled_p50,-155.73815000000002,2.451303712313097,155.73815000000002,2.451303712313104,0.2162,0.01150260839983697,0.7751249999999998,0.015928060930320422,1.745327273619175,0.12114023036241446,load_08,1.05,1575000.0,6300000.0,3.9375
offload,-167.1525,3.1730522372000083,167.1525,3.1730522372000136,0.085425,0.008191497115912327,1.0,0.0,0.5935857180804014,0.008867307804991674,load_08,1.05,1575000.0,6300000.0,3.9375
greedy,-182.49162500000006,1.085294638853899,182.491625,1.0852946388538933,0.589825,0.003648715527415093,0.266875,0.0013975424859373697,4.561664569103718,0.03031811573295521,load_08,1.05,1575000.0,6300000.0,3.9375
local,-250.61502499999983,1.0619322156451239,250.61502500000003,1.0619322156451425,0.8171499999999999,0.003968941924493228,0.0,0.0,4.950408114886283,0.004165316486532927,load_08,1.05,1575000.0,6300000.0,3.9375
random,-172.36884999999998,1.559566182468688,172.36884999999998,1.559566182468703,0.403125,0.015668938221845157,0.500075,0.018552981566314346,3.9806935647845267,0.25563714787763053,load_08,1.05,1575000.0,6300000.0,3.9375
mappo,-158.96755,2.3430777030435874,158.96755000000002,2.343077703043583,0.23725000000000002,0.011749999999999997,0.76575,0.016336309252704538,1.8144633270561696,0.12540056784614975,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
pruned_p10,-158.961875,2.114903104311164,158.961875,2.1149031043111663,0.26722500000000005,0.010610401736032433,0.71815,0.012750588221725298,2.147898223245144,0.10251628175585893,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
distilled_p10,-158.95715,2.3341348643555317,158.95715,2.3341348643555264,0.236925,0.011753217644543127,0.7661500000000001,0.01614357457318545,1.8115938141942025,0.12429654404551864,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
pruned_p25,-159.25615,2.1954203589517864,159.25615000000002,2.19542035895179,0.24392500000000003,0.010310825621646405,0.74605,0.012423163848231255,1.9904410982877017,0.09610670171256834,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
distilled_p25,-158.96925,2.3322062783982047,158.96925,2.3322062783982034,0.237,0.01179247641507075,0.766175,0.016614018929807444,1.8132757255911827,0.12307842743205194,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
pruned_p40,-159.495025,2.349827074621683,159.495025,2.349827074621662,0.2284,0.011462002442854387,0.7656750000000001,0.015488322213848731,1.8190948572009802,0.12751814904812592,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
distilled_p40,-158.918425,2.430613243221767,158.918425,2.4306132432217598,0.23635,0.012126520523216867,0.7667999999999999,0.01673910093165102,1.805155144348741,0.1261242591770466,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
pruned_p50,-159.49669999999998,2.2183120942509515,159.49669999999998,2.2183120942509436,0.24915000000000004,0.009609370426828181,0.7358750000000001,0.012777543778050616,2.083846525043249,0.10609316999725753,load_09,1.1,1650000.0000000002,6600000.000000001,4.125000000000001
